RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DIRECTION,CURRENT_SAC_DURATION,CURRENT_SAC_ANGLE,CURRENT_SAC_END_TIME,CURRENT_SAC_END_X,CURRENT_SAC_END_Y,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_START_TIME,CURRENT_SAC_START_X,CURRENT_SAC_START_Y,EYE_USED,PREVIOUS_FIX_BLINK_AROUND,block_number,block_trial_number,emcount,fix_to_stim,high_location,looked_distractor,low_location,not_fixated,points_received,ques_trial,response_key,response_time,sac_latency,target_correct,target_position,too_late,total_points,trial_number
SRC01TR,5.47,114.05,FALSE,LEFT,48,136.63,1120,653.1,317.4,3,225.85,1073,846.5,500.3,RIGHT,NONE,0,36,1,726,north_west,0,south_east,0,0,0,0,261,214,1,north_west,0,0,36
SRC01TR,1.01,59.58,FALSE,UP,17,77.71,1297,645.8,279.1,4,78.55,1281,635.3,327.3,RIGHT,NONE,0,36,1,726,north_west,0,south_east,0,0,0,0,261,214,1,north_west,0,0,36
SRC01TR,0.69,18.28,FALSE,RIGHT,38,7.64,1659,681.2,308.1,5,68.92,1622,647.7,312.6,RIGHT,NONE,0,36,1,726,north_west,0,south_east,0,0,0,0,261,214,1,north_west,0,0,36
SRC01TR,4.54,92.74,FALSE,RIGHT,49,-40.02,897,1010.1,650.9,1,281.19,849,840.8,508.3,RIGHT,NONE,0,37,2,509,north_west,0,south_east,0,0,0,0,435,411,0,south_east,1,0,37
SRC01TR,1.38,57.33,FALSE,RIGHT,24,-38.72,1064,1063.1,701.3,2,118.71,1041,1010.6,659,RIGHT,NONE,0,37,2,509,north_west,0,south_east,0,0,0,0,435,411,0,south_east,1,0,37
SRC01TR,0.23,45.71,FALSE,.,5,164.87,450,824.3,532.3,1,30.2,446,835,535.2,RIGHT,NONE,0,38,1,670,north_west,0,south_east,0,0,0,0,297,258,1,south_west,0,0,38
SRC01TR,0.54,28.45,FALSE,RIGHT,19,19.57,717,859.2,518.6,2,58.87,699,834.5,527.4,RIGHT,NONE,0,38,1,670,north_west,0,south_east,0,0,0,0,297,258,1,south_west,0,0,38
SRC01TR,6,150.02,FALSE,LEFT,40,-149.98,1088,612.2,678.6,3,274.39,1049,865.5,531.8,RIGHT,NONE,0,38,1,670,north_west,0,south_east,0,0,0,0,297,258,1,south_west,0,0,38
SRC01TR,0.98,60.96,FALSE,DOWN,16,-69.7,1272,624.7,733.4,4,73.03,1257,608.1,688.3,RIGHT,NONE,0,38,1,670,north_west,0,south_east,0,0,0,0,297,258,1,south_west,0,0,38
SRC01TR,0.61,31.88,FALSE,RIGHT,19,-10.59,1543,655.3,741.9,5,65.02,1525,626.1,736.4,RIGHT,NONE,0,38,1,670,north_west,0,south_east,0,0,0,0,297,258,1,south_west,0,0,38
SRC01TR,6.25,138.91,FALSE,RIGHT,45,38.74,882,1073,318.1,1,277.72,838,835.8,508.4,RIGHT,NONE,0,39,1,455,north_west,0,south_east,0,0,0,0,292,248,1,north_east,0,0,39
SRC01TR,0.57,31.45,FALSE,UP,18,53.28,1134,1057.9,310.7,2,53.34,1117,1041.4,332.8,RIGHT,NONE,0,39,1,455,north_west,0,south_east,0,0,0,0,292,248,1,north_east,0,0,39
SRC01TR,5.44,115.65,FALSE,RIGHT,47,-34.19,1124,1052.6,703.8,1,312.34,1078,833.4,554.3,RIGHT,NONE,0,40,2,755,north_west,0,south_east,0,0,0,0,403,355,0,north_east,1,0,40
SRC01TR,8.02,163.75,FALSE,UP,49,87.5,1280,1076.2,309,2,283.43,1232,1059.1,702.2,RIGHT,NONE,0,40,2,755,north_west,0,south_east,0,0,0,0,403,355,0,north_east,1,0,40
SRC01TR,5.96,116.85,FALSE,RIGHT,51,-44.65,927,1041.8,730,1,300.84,877,835.1,525,RIGHT,NONE,0,41,1,474,north_west,0,south_east,0,0,0,0,320,270,1,south_east,0,0,41
SRC01TR,0.88,35.29,FALSE,RIGHT,25,7.38,1120,1086.9,736.2,2,101.43,1096,1043.9,741.8,RIGHT,NONE,0,41,1,474,north_west,0,south_east,0,0,0,0,320,270,1,south_east,0,0,41
SRC01TR,0.71,51.03,FALSE,LEFT,14,174.79,1311,1035.6,733.1,3,58.43,1298,1070.5,736.3,RIGHT,NONE,0,41,1,474,north_west,0,south_east,0,0,0,0,320,270,1,south_east,0,0,41
SRC01TR,4.8,106.67,FALSE,LEFT,45,-141.76,944,653.6,654.2,1,276.95,900,837,509.2,RIGHT,NONE,0,42,1,550,north_west,0,south_east,0,0,0,0,260,216,1,south_west,0,0,42
