Subject,RT,condition,template_duration
7,0.476,1,0.593
7,0.611,1,0.538
7,0.537,1,0.789
7,0.422,1,0.202
7,0.493,1,0.423
7,0.757,-1,0.436
7,0.683,-1,0.252
7,0.517,-1,0.482
7,0.468,-1,0.205
7,0.537,-1,0.575
7,0.468,-1,0.254
7,0.559,-1,0.583
7,0.511,-1,0.517
7,0.578,-1,0.737
7,0.465,-1,0.59
7,0.514,-1,0.226
7,0.505,-1,0.26
7,0.562,-1,0.415
7,0.542,-1,0.667
7,0.562,-1,0.227
7,0.679,-1,0.344
7,0.524,-1,0.449
7,0.483,-1,0.506
7,0.402,-1,0.56
7,0.771,-1,0.734
7,0.509,-1,0.332
7,0.565,-1,0.652
7,0.479,-1,0.291
7,0.56,-1,0.351
7,0.434,-1,0.624
7,0.604,-1,0.595
7,0.517,-1,0.235
7,0.492,-1,0.623
7,0.52,-1,0.379
8,0.773,1,0.297
8,0.73,1,0.227
8,0.556,1,0.607
8,0.438,1,0.441
8,0.428,1,0.261
8,0.648,1,0.617
8,0.473,1,0.31
8,0.517,1,0.754
8,0.534,1,0.657
8,0.538,1,0.752
8,0.474,1,0.262
8,0.383,1,0.267
8,0.549,1,0.459
8,0.516,1,0.786
8,0.447,1,0.54
8,0.402,1,0.282
8,0.471,1,0.293
8,0.538,1,0.529
8,0.558,1,0.322
8,0.477,1,0.247
8,0.494,1,0.55
8,0.415,1,0.716
8,0.466,1,0.515
8,0.463,1,0.459
8,0.672,1,0.396
8,0.5,1,0.537
8,0.451,1,0.543
8,0.51,1,0.597
8,0.545,1,0.452
8,0.614,-1,0.44
8,0.551,-1,0.57
8,0.771,-1,0.362
8,0.691,-1,0.505
8,0.482,-1,0.408
8,0.498,-1,0.704
8,0.579,-1,0.501
8,0.751,-1,0.458
8,0.498,-1,0.703
8,0.619,-1,0.399
8,0.484,-1,0.538
8,0.654,-1,0.755
8,0.458,-1,0.783
8,0.555,-1,0.6
8,0.517,-1,0.327
8,0.591,-1,0.42
8,0.685,-1,0.397
8,0.521,-1,0.601
8,0.49,-1,0.416
8,0.551,-1,0.745
8,0.493,-1,0.526
8,0.481,-1,0.514
8,0.528,-1,0.713
8,0.578,-1,0.364
8,0.616,-1,0.692
8,0.442,-1,0.385
8,0.532,-1,0.521
8,0.532,-1,0.485
8,0.609,-1,0.77
8,0.477,-1,0.232
9,0.735,1,0.241
9,0.609,1,0.743
9,0.556,1,0.714
9,0.545,1,0.364
9,0.546,1,0.381
9,0.646,1,0.569
9,0.569,1,0.783
9,0.542,1,0.49
9,0.512,1,0.399
9,0.528,1,0.438
9,0.482,1,0.598
9,0.461,1,0.479
9,0.556,1,0.504
9,0.532,1,0.326
9,0.611,1,0.713
9,0.544,1,0.609
9,0.621,1,0.595
9,0.673,1,0.797
9,0.562,1,0.681
9,0.563,1,0.542
9,0.58,1,0.714
9,0.495,1,0.373
9,0.45,1,0.389
9,0.535,1,0.513
9,0.724,1,0.213
9,0.532,1,0.607
9,0.455,1,0.32
9,0.671,1,0.738
9,0.619,-1,0.663
9,0.799,-1,0.571
9,0.753,-1,0.372
9,0.551,-1,0.27
9,0.637,-1,0.691
9,0.555,-1,0.255
9,0.683,-1,0.733
9,0.874,-1,0.358
9,0.764,-1,0.339
9,0.582,-1,0.676
9,0.675,-1,0.209
9,0.682,-1,0.494
9,0.532,-1,0.34
9,0.445,-1,0.313
9,0.582,-1,0.478
9,0.684,-1,0.415
9,0.806,-1,0.442
9,0.664,-1,0.33
9,0.582,-1,0.273
9,0.521,-1,0.545
9,0.474,-1,0.783
9,0.597,-1,0.238
9,0.477,-1,0.567
9,0.496,-1,0.364
